Start Date	End Date	UPC	ISRC/ISBN	Vendor Identifier	Quantity	Partner Share	Extended Partner Share	Partner Share Currency	Sales or Return	Apple Identifier	Artist/Show/Developer/Author	Title	Label/Studio/Network/Developer/Publisher	Grid	Product Type Identifier	ISAN/Other Identifier	Country Of Sale	Pre-order Flag	Promo Code	Customer Price	Customer Currency
02/01/2026	02/28/2026		JPA960510171	JPA960510171	1			GBP		74977048	Straightener	走る岩	Pacific Records		H3		GB				
02/01/2026	02/28/2026		JPA961010019	JPA961010019	1			GBP		380464451	かりゆし58	会いたくて	Pacific Records		S3		GB				
02/01/2026	02/28/2026		JPA961980051	JPA961980051	1			GBP		1492861781	Su凸ko D凹koi	歩くATM	おポンコツレコーズ		H3		GB				
02/01/2026	02/28/2026		JPA960510158	JPA960510158	1			GBP		74976676	Straightener	Skylab Hurricane	Pacific Records		H3		GB				
02/01/2026	02/28/2026		JPA960590936	JPA960590936	1			GBP		74436072	Toki Asako	The Good Life	Living,dining&kitchen Records		H3		GB				
02/01/2026	02/28/2026		JPA960590934	JPA960590934	1			GBP		74435950	Toki Asako	My Favorite Things	Living,dining&kitchen Records		H3		GB				
02/01/2026	02/28/2026		JPA961980050	JPA961980050	1			GBP		1492861779	Su凸ko D凹koi	ブス2	おポンコツレコーズ		H3		GB				
02/01/2026	02/28/2026		JPA960590939	JPA960590939	1			GBP		74436215	Toki Asako	Like Someone In Love	Living,dining&kitchen Records		H3		GB				
02/01/2026	02/28/2026		JPA960590935	JPA960590935	1			GBP		74436013	Toki Asako	September	Living,dining&kitchen Records		H3		GB				
02/01/2026	02/28/2026		JPA961980053	JPA961980053	1			GBP		1492861784	Su凸ko D凹koi	来世に期待	おポンコツレコーズ		H3		GB				
02/01/2026	02/28/2026		JPA960510169	JPA960510169	1			GBP		74977017	Straightener	Fragile Silencer	Pacific Records		H3		GB				
02/01/2026	02/28/2026		JPA961980052	JPA961980052	1			GBP		1492861782	Su凸ko D凹koi	あの娘をリンチ	おポンコツレコーズ		H3		GB				
02/01/2026	02/28/2026		JPA960910023	JPA960910023	1			GBP		351577819	かりゆし58	オワリはじまり	Pacific Records		S3		GB				
02/01/2026	02/28/2026		JPA960590938	JPA960590938	1			GBP		74436175	Toki Asako	Feelin' Good	Living,dining&kitchen Records		H3		GB				
02/01/2026	02/28/2026		JPA961980049	JPA961980049	1			GBP		1492861778	Su凸ko D凹koi	顔という臓器	おポンコツレコーズ		H3		GB				
02/01/2026	02/28/2026		JPA961980024	JPA961980024	1			GBP		1463183205	Su凸ko D凹koi	あわてんぼうの彼氏	おポンコツレコーズ/NaturalAfroRecord		H3		GB				
02/01/2026	02/28/2026		JPA961980048	JPA961980048	1			GBP		1492861777	Su凸ko D凹koi	ホームレスアイドル	おポンコツレコーズ		H3		GB				
02/01/2026	02/28/2026		JPA962080232	JPA962080232	1			GBP		1528307066	Su凸ko D凹koi	拝啓クソ旦那様	おポンコツレコーズ		H3		GB				
02/01/2026	02/28/2026		JPA960510006	JPA960510006	1			GBP		74442953	Keito Blow	I Love You Smile	Pacific Records		H3		GB				
02/01/2026	02/28/2026		JPZ921609410	JPZ921609410	1			GBP		1208623141	NECOKICKS	弾丸ライナー	FIVE RAT RECORDS		H3		GB				
